PID	Status	Label
-	0	com.apple.cfnetwork.AuthBrokerAgent
28508	0	application.com.apple.Safari.45309.46193
72210	-9	com.apple.feedbackd
-	0	com.apple.storedownloadd
-	0	com.apple.SpacesTouchBarAgent.app
616	0	com.apple.BTServer.cloudpairing
-	0	com.apple.managedcorespotlightd
684	0	com.apple.coreservices.sharedfilelistd
607	0	com.apple.pboard
-	78	com.ai-empire.agentmonitor
-	0	com.apple.nowplayingtouchui
-	-9	com.apple.MobileAccessoryUpdater.fudHelperAgent
71877	-9	com.apple.reversetemplated
634	0	com.apple.BTServer.le.agent
-	0	com.apple.AskPermissionUI
-	0	com.apple.thermaltrap
619	0	com.apple.rapportd
-	-9	com.apple.SoftwareUpdateNotificationManager
-	0	com.apple.DistributionKit.DistributionHelper
-	0	com.apple.accounts.dom
765	0	com.apple.TextInputUI.xpc.CursorUIViewService
-	0	com.apple.metadata.mdflagwriter
-	0	com.apple.DictionaryServiceHelper
-	0	com.apple.mdworker.shared
-	0	com.apple.mdworker.single.x86_64
-	0	com.apple.usermanagerhelper
-	0	com.apple.installandsetup.migrationhelper.user
608	0	com.apple.containermanagerd
-	-9	com.apple.imdpersistence.IMDPersistenceAgent
-	0	com.apple.TrustEvaluationAgent
-	0	com.apple.Notes.datastore
-	-9	com.apple.mlhostd
-	0	com.apple.preference.displays.MirrorDisplays
-	0	com.apple.IOUIAgent
71799	0	com.apple.neagent.878568F8-CCE5-4157-8315-22F20DC8FB0A
-	0	com.apple.previewshellapp
-	0	com.apple.managedappdistributionagent
637	0	com.apple.accountsd
72229	-9	com.apple.cdpd
714	0	com.apple.routined
72418	-9	com.apple.siriactionsd
-	0	com.apple.KeyboardAccessAgent
-	0	com.apple.ecosystemagent
610	0	com.apple.BiomeAgent
-	78	ai.openclaw.gateway
-	0	com.apple.storelegacy
-	0	com.apple.OSDUIHelper
72178	-9	com.apple.audio.AudioComponentRegistrar
72019	-9	com.apple.AssetCacheLocatorService
-	0	com.apple.DiagnosticsReporter
713	0	com.apple.lockoutagent
-	0	com.apple.videosubscriptionsd
72397	-9	com.apple.pbs
-	0	com.apple.calendar.CalendarAgentBookmarkMigrationService
788	0	com.apple.notificationcenterui.agent
-	-9	com.apple.protectedcloudstorage.protectedcloudkeysyncing
764	0	com.apple.imklaunchagent
687	0	com.apple.FileProvider
69687	0	com.apple.managedcorespotlightd.7A819FE3-6C50-7356-EB54-DF0C13FFACFE
72045	-9	com.apple.imcore.imtransferagent
72420	-9	com.apple.mobiletimerd
-	0	com.apple.btsa
1157	0	com.apple.icdd
-	0	com.apple.ckdiscretionaryd
1159	0	com.logitech.LogiRightSight.Agent
-	0	com.apple.EscrowSecurityAlert
-	1	homebrew.mxcl.ollama
-	-9	com.apple.MTLAssetUpgraderD
-	0	com.apple.ptpcamerad
906	0	com.apple.metadata.mdwrite
-	0	com.apple.loginwindow.LWWeeklyMessageTracer
-	-9	com.apple.spotlightknowledged
647	0	application.com.apple.Music.1152921500311888646.1152921500311888651
-	0	com.apple.securityuploadd
-	-9	com.apple.lockdownmoded
-	0	com.apple.companiond
-	0	com.apple.RapportUIAgent
72017	-9	com.apple.siriknowledged
-	0	com.apple.powerchime
648	0	com.apple.sharingd
-	0	com.apple.seserviced
-	-9	com.apple.mobilerepaird
-	0	com.maurice.storage-cleanup
-	0	com.apple.iCloudUserNotificationsd
-	-9	com.apple.metrickitd
-	0	com.apple.storeassetd
789	0	com.apple.familycircled
-	0	com.apple.filevaultd
-	0	com.apple.FontRegistryUIAgent
-	0	com.apple.RemoteManagementAgent
-	0	com.apple.sportsd
-	-9	com.apple.TextInputSwitcher
694	0	com.apple.intelligentroutingd
-	-9	com.apple.AMPArtworkAgent
780	0	com.apple.imagent
1592	0	com.apple.sidecar-relay
-	0	com.apple.cloudsettingssyncagent
-	-9	com.apple.assistant_cdmd
68093	-9	com.apple.photoanalysisd
-	0	com.apple.syncservices.SyncServer
70077	0	com.apple.imautomatichistorydeletionagent
657	0	com.apple.SystemUIServer.agent
-	0	com.apple.PackageUIKit.InstallStatus
623	0	com.apple.talagent
677	0	com.apple.suggestd
-	0	com.apple.navd
641	0	application.com.apple.Notes.1152921500311893941.1152921500311893946
-	0	com.apple.appleidsetupd
-	0	com.apple.RemoteDesktop.agent
-	-9	com.apple.iCloudNotificationAgent
72225	-9	com.apple.amsaccountsd
-	0	com.apple.VoiceOver
72254	-9	com.apple.Maps.mapssyncd
-	-9	com.apple.swtransparencyd
-	0	com.apple.gputoolsserviced
621	0	com.apple.usernotificationsd
-	-9	com.apple.FamilyControlsAgent
1745	0	com.apple.spotlightknowledged.importer
-	0	com.apple.AssistiveControl
-	0	com.apple.mdworker.single.arm64
-	0	com.apple.ContainerMigrationService
617	0	com.apple.secd
71987	-9	com.apple.hiservices-xpcservice
-	-9	com.apple.BKAgentService
-	0	com.apple.cvmsCompAgent_x86_64_1
